登记证号,农药名称,农药类别,剂型,总含量,有效期至,登记证持有人,持有人地址
PD20211192,噻苯隆·28-高芸苔素内酯,植物生长调节剂,可溶液剂,0.16%,2031-8-5,山东仕邦农化有限公司,山东省菏泽市单县谢集镇单县化工产业园滨河北路中段路东
PD20211189,噻苯·敌草隆,植物生长调节剂,悬浮剂,540克/升,2031-8-5,海利尔药业集团股份有限公司,山东省青岛市城阳区城东工业园
PD20211183,三十烷醇,植物生长调节剂,微乳剂,0.1%,2031-8-5,山西奥赛诺生物科技有限公司,山西省夏县林荫街林心巷三号
PD20211181,28-表高芸苔素内酯,植物生长调节剂,可溶液剂,0.01%,2031-8-5,山东贵合生物科技有限公司,山东省阳谷县阿城镇大洼里村（阿城镇工业园）
PD20211178,吲丁·萘乙酸,植物生长调节剂,可溶液剂,10%,2031-8-5,郑州郑氏化工产品有限公司,河南省郑州市金水区农业路72号国际企业中心A座25层东
PD20211175,苯醚·咯·噻虫,杀虫/杀菌剂,种子处理悬浮剂,27%,2031-8-5,内蒙古永太化学有限公司,内蒙古自治区乌海市乌海经济开发区低碳产业园
PD20211173,王铜,杀菌剂,水分散粒剂,84%,2031-8-5,宁波三江益农化学有限公司,浙江省宁波市镇海区宁波化学工业区北海路1165号
PD20211172,咯菌·嘧菌酯,杀菌剂,颗粒剂,1.5%,2031-8-5,山东泉辉作物农业科技有限公司,山东省济南市商河县韩庙镇济南市植保科技工业园
PD20211169,咪鲜胺,杀菌剂,乳油,450克/升,2031-8-5,安道麦安邦（江苏）有限公司,江苏省淮安市清浦区化工路30号
PD20211164,克菌·戊唑醇,杀菌剂,悬浮剂,40%,2031-8-5,安徽远景作物保护有限公司,安徽省淮南市潘集区平圩镇煤化工大道综合服务中心二楼212室
PD20211161,唑醚·戊唑醇,杀菌剂,悬浮剂,40%,2031-8-5,江苏剑牌农化股份有限公司,江苏省盐城市建湖县城冠华东路1008号
PD20211156,精甲霜灵,杀菌剂,种子处理乳剂,350克/升,2031-8-5,上海悦联生物科技有限公司,上海市金山区金山卫镇海金路899号
PD20211150,咯菌·精甲霜,杀菌剂,种子处理悬浮剂,63克/升,2031-8-5,辽宁壮苗生化科技股份有限公司,辽宁省本溪市溪湖区石桥子镇园区西路28栋
PD20211148,苯醚·咯菌腈,杀菌剂,种子处理悬浮剂,4.8%,2031-8-5,上海悦联生物科技有限公司,上海市金山区金山卫镇海金路899号
PD20211147,精甲·咯菌腈,杀菌剂,种子处理悬浮剂,35克/升,2031-8-5,上海悦联生物科技有限公司,上海市金山区金山卫镇海金路899号
PD20211141,醚菌·氟环唑,杀菌剂,悬浮剂,23%,2031-8-5,山东京博农化科技股份有限公司,山东省滨州市博兴县致泰广场D座22-23层
PD20211140,精甲·咯·嘧菌,杀菌剂,种子处理悬浮剂,6%,2031-8-5,青岛中达农业科技有限公司,山东省青岛市平度市新河生态化工科技产业基地升水路3号
PD20211139,霜脲·氰霜唑,杀菌剂,悬浮剂,24%,2031-8-5,上海悦联生物科技有限公司,上海市金山区金山卫镇海金路899号
PD20211135,精甲霜灵,杀菌剂,种子处理乳剂,10%,2031-8-5,深圳诺普信作物科学股份有限公司,深圳市宝安区西乡水库路113号
PD20211131,氰霜唑·王铜,杀菌剂,水分散粒剂,78%,2031-8-5,宁波三江益农化学有限公司,浙江省宁波市镇海区宁波化学工业区北海路1165号
PD20211130,抑霉唑硫酸盐,杀菌剂,可溶粒剂,75%,2031-8-5,山东奥维特生物科技有限公司,山东省济南市济阳县济北开发区富阳街87号（汽车站西600米路北）
PD20211129,醚菌·氟环唑,杀菌剂,悬浮剂,30%,2031-8-5,江西众和化工有限公司,江西省南昌市安义工业园区北一路
PD20211126,粉唑醇·肟菌酯,杀菌剂,悬浮剂,54%,2031-8-5,浙江中山化工集团股份有限公司,浙江省长兴县小浦镇中山村
PD20211124,克菌·戊唑醇,杀菌剂,悬浮剂,400克/升,2031-8-5,安道麦安邦（江苏）有限公司,江苏省淮安市清浦区化工路30号
PD20211123,吡唑醚菌酯,杀菌剂,微囊悬浮剂,9%,2031-8-5,江苏莱科化学有限公司,江苏省如东县洋口化学工业园海滨二路
PD20211122,赤霉酸,植物生长调节剂,原药,90%,2031-8-5,郑州郑氏化工产品有限公司,河南省郑州市金水区农业路72号国际企业中心A座25层东
WP20110185,杀蟑饵剂,卫生杀虫剂,饵剂,8%,2031-8-3,东创未来健康科技（浙江）有限公司,浙江省金华市义乌市苏溪镇阳光大道1526号T3(1-2层)
WP20110183,蚊香,卫生杀虫剂,蚊香,0.08%,2031-8-3,广州超威日用化学用品有限公司,广东省广州市番禺区新造镇新谭公路永兴工业区综合管理大楼402
WP20110182,防蛀片剂,卫生杀虫剂,防蛀片剂,125毫克/片,2031-8-3,天津源达日化股份有限公司,天津市经济技术开发区微电子工业区微二路
WP20110181,电热蚊香液,卫生杀虫剂,电热蚊香液,1.1%,2031-8-3,德州雪豹化学有限公司,山东省德州市德城区恒东路10号
PD20110822,甲氨基阿维菌素苯甲酸盐,杀虫剂,乳油,0.5%,2031-8-3,青岛正道药业有限公司,山东省莱西市姜山镇盛德路西
PD20110821,咪鲜胺,杀菌剂,水乳剂,45%,2031-8-3,陕西省蒲城美尔果农化有限责任公司,陕西省蒲城县陈庄镇东鲁村（农化工业园）
PD20110820,氯吡脲,植物生长调节剂,可溶液剂,0.5%,2031-8-3,四川省新兰月生物科技有限公司,四川省眉山高新技术产业园区君乐路5号
PD20110818,哒螨灵,杀螨剂,微乳剂,15%,2031-8-3,深圳诺普信作物科学股份有限公司,深圳市宝安区西乡水库路113号
PD20110817,乳氟禾草灵,除草剂,乳油,240克/升,2031-8-3,山东仕邦农化有限公司,山东省菏泽市单县谢集镇单县化工产业园滨河北路中段路东
PD20110816,噻嗪酮,杀虫剂,可湿性粉剂,50%,2031-8-3,湖南大方农化股份有限公司,隆平高科技园合平路456号信城创智工业园第A11栋502号
PD20110813,啶虫脒,杀虫剂,可溶粉剂,20%,2031-8-3,宁波三江益农化学有限公司,浙江省宁波市镇海区宁波化学工业区北海路1165号
PD20110812,松·喹·氟磺胺,除草剂,乳油,18%,2031-8-3,山东胜邦绿野化学有限公司,山东省济南市章丘刁镇工业园
PD20110808,甲氨基阿维菌素苯甲酸盐,杀虫剂,水分散粒剂,5%,2031-8-3,吉林八达作物科学有限公司,吉林省公主岭市工业大街179号
PD20110807,甲·灭·敌草隆,除草剂,可湿性粉剂,55%,2031-8-3,山东滨农科技有限公司,山东省滨州市滨城区滨北办事处永莘路518号
PD20110764,丙溴磷,杀虫剂,乳油,40%,2031-8-3,青岛中达农业科技有限公司,山东省青岛市平度市新河生态化工科技产业基地升水路3号
PD86177-4,乐果,杀虫剂,原药,96%,2031-7-31,广东广康生化科技股份有限公司,英德市农用化工产业链专用基地（英德市沙口镇红丰管理区）
PD86148-55,异丙威,杀虫剂,乳油,20%,2031-7-31,广东广康生化科技股份有限公司,英德市农用化工产业链专用基地（英德市沙口镇红丰管理区）
PD85154-23,氰戊菊酯,杀虫剂,乳油,20%,2031-7-31,安徽金泰农药化工有限公司,安徽省肥东县循环经济示范园纬四路
PD20160978,莠去津,除草剂,原药,95%,2031-7-31,河北临港化工有限公司,河北省沧州市临港经济技术开发区沧州临港经济技术开发区天津大道2号
PD20160973,腈苯唑,杀菌剂,原药,96.5%,2031-7-27,科迪华农业科技有限责任公司,北京市东城区东长安街1号东方广场W3办公楼1103室
WP20160059,杀虫气雾剂,卫生杀虫剂,气雾剂,0.4%,2031-7-26,广州超威日用化学用品有限公司,广东省广州市番禺区新造镇新谭公路永兴工业区综合管理大楼402
WP20160058,氟虫腈,卫生杀虫剂,饵剂,0.05%,2031-7-26,广东省广州市益农生化有限公司,广东省广州市花都区新华镇工业大道18号
WP20160057,电热蚊香片,卫生杀虫剂,电热蚊香片,10毫克/片,2031-7-26,厦门市胜伟达工贸有限公司,福建省厦门市前埔工业区2号
WP20160056,电热蚊香液,卫生杀虫剂,电热蚊香液,1.24%,2031-7-26,天津阿斯化学有限公司,天津经济技术开发区西区新安路98号
WP20160055,电热蚊香液,卫生杀虫剂,电热蚊香液,1.5%,2031-7-26,天津阿斯化学有限公司,天津经济技术开发区西区新安路98号
WP20160054,杀蚁饵剂,卫生杀虫剂,饵剂,0.05%,2031-7-26,河北上瑞生物科技有限公司,河北省石家庄市栾城区窦妪工业区窦南路2号
PD85154-55,氰戊菊酯,杀虫剂,乳油,20%,2031-7-26,安道麦辉丰（江苏）有限公司,江苏省盐城市大丰区王港闸南首
PD20160972,多效唑,植物生长调节剂,悬浮剂,25%,2031-7-26,山东省绿士农药有限公司,山东省齐河经济开发区金能大道北首
PD20160970,甲维·甲虫肼,杀虫剂,悬浮剂,20%,2031-7-26,陕西汤普森生物科技有限公司,陕西蒲城县北环路中段
PD20160969,戊唑醇,杀菌剂,悬浮剂,430克/升,2031-7-26,黑龙江省哈尔滨富利生化科技发展有限公司,黑龙江省哈尔滨市南岗区王岗工业园区
PD20160968,苯甲·嘧菌酯,杀菌剂,悬浮剂,325克/升,2031-7-26,青岛金尔农化研制开发有限公司,青岛胶州市胶州湾工业园金尔路1号
PD20160967,唑草酮,除草剂,可湿性粉剂,10%,2031-7-26,陕西上格之路生物科学有限公司,陕西省西安市高新区集贤园创业大道9号
PD20160966,啶虫脒,杀虫剂,微乳剂,5%,2031-7-26,山东统防生物科技有限公司,山东省菏泽市巨野县董官屯镇化工园区纬七路西段路北
PD20160965,联肼·哒螨灵,杀虫剂,悬浮剂,45%,2031-7-26,陕西亿田丰作物科技有限公司,蒲城农化基地工业园区
PD20160964,嗪草酮,除草剂,原药,95%,2031-7-26,辽宁莱科化学有限公司,辽宁省锦州滨海新区（锦州经济技术开发区）昆仑山路2号办公楼一楼西侧104室
PD20160962,阿维菌素,杀线虫剂,颗粒剂,2.5%,2031-7-26,佛山市盈辉作物科学有限公司,广东省佛山市禅城区季华五路金融广场15楼
PD20160961,甲氧虫酰肼,杀虫剂,悬浮剂,240克/升,2031-7-26,山东兆丰年生物科技有限公司,山东省济南市章丘高官寨工业区工业路26号
PD20160960,草铵膦,除草剂,原药,95%,2031-7-26,内蒙古灵圣作物科技有限公司,阿拉善经济开发区巴音敖包工业园区
PD20160959,草铵膦,除草剂,水剂,200克/升,2031-7-26,浙江新农化工股份有限公司,浙江省仙居县杨府三里溪
PD20160958,异丙威,杀虫剂,烟剂,10%,2031-7-26,河南粮保作物健康科学有限公司,河南省郑州市金水区东风路金成国际广场6号楼东单元701
PD20160957,醚菌酯,杀菌剂,悬浮剂,30%,2031-7-26,山东碧奥生物科技有限公司,山东省威海市南海新区滨海路北、龙泰路东
PD20160956,己唑醇,杀菌剂,悬浮剂,40%,2031-7-26,山东东合生物科技有限公司,山东省商河经济开发区汇源街18号
PD20160955,吡唑醚菌酯,杀菌剂,原药,98%,2031-7-26,安徽景宏植保有限公司,安徽省蚌埠市淮上区沫河口工业园开源大道20号
PD20160954,硝·乙·莠去津,除草剂,悬乳剂,50%,2031-7-26,新乡中电除草剂有限公司,河南省新乡县朗公庙镇新原路口
PD20160953,吡唑醚菌酯,杀菌剂,悬浮剂,25%,2031-7-26,一帆生物科技集团有限公司,浙江省温州市龙湾区瑶溪街道长安路555号
PD20160952,赤霉·胺鲜酯,植物生长调节剂,可溶粒剂,10%,2031-7-26,陕西汤普森生物科技有限公司,陕西蒲城县北环路中段
PD20160951,丙环·嘧菌酯,杀菌剂,悬乳剂,19%,2031-7-26,安道麦马克西姆有限公司,北京市朝阳区朝阳公园南路10号院7号楼4层401
PD20160950,丙环唑,杀菌剂,水乳剂,50%,2031-7-26,陕西汤普森生物科技有限公司,陕西蒲城县北环路中段
PD20160949,烯酰·嘧菌酯,杀菌剂,悬浮剂,42%,2031-7-26,陕西亿田丰作物科技有限公司,蒲城农化基地工业园区
PD20160948,阿维·毒死蜱,杀虫剂,微乳剂,22%,2031-7-26,河北中保绿农作物科技有限公司,河北省廊坊市广阳区九州镇中国农科院科研基地内
PD20160946,噻虫啉,杀虫剂,水分散粒剂,36%,2031-7-26,陕西上格之路生物科学有限公司,陕西省西安市高新区集贤园创业大道9号
PD20160945,啶虫脒,杀虫剂,乳油,15%,2031-7-26,江西农喜作物科学有限公司,江西省东乡县孝岗镇河山村狮子岩
PD20160944,嘧霉胺,杀菌剂,水分散粒剂,80%,2031-7-26,河北三农农用化工有限公司,河北省石家庄市栾城区窦妪工业区
PD20160943,西玛津,除草剂,原药,95%,2031-7-26,河北临港化工有限公司,河北省沧州市临港经济技术开发区沧州临港经济技术开发区天津大道2号
PD20160942,辛·烟·莠去津,除草剂,可分散油悬浮剂,38%,2031-7-26,陕西美邦药业集团股份有限公司,陕西蒲城县高新技术产业开发区
PD20160941,吡唑醚菌酯,杀菌剂,乳油,30%,2031-7-26,山东兆丰年生物科技有限公司,山东省济南市章丘高官寨工业区工业路26号
PD20160940,己唑·嘧菌酯,杀菌剂,悬浮剂,24%,2031-7-26,江苏东宝农化股份有限公司,江苏省扬州市江都市宜陵镇
PD20160939,氰氟草酯,除草剂,水乳剂,10%,2031-7-26,安徽沙隆达生物科技有限公司,安徽省合肥市庐江县龙桥工业园纬一路以北、沈圩路以东
PD20160938,吡唑醚菌酯,杀菌剂,原药,98%,2031-7-26,南通泰禾化工股份有限公司,江苏省南通市如东县洋口化工聚集区
PD20160937,氟磺胺草醚,除草剂,水剂,250克/升,2031-7-26,山东碧奥生物科技有限公司,山东省威海市南海新区滨海路北、龙泰路东
PD20160936,霜脲·锰锌,杀菌剂,可湿性粉剂,72%,2031-7-26,柳州市惠农化工有限公司,广西壮族自治区柳州市雒容镇强容路13号
PD20160935,噻虫嗪,杀虫剂,水分散粒剂,25%,2031-7-26,安徽景宏植保有限公司,安徽省蚌埠市淮上区沫河口工业园开源大道20号
PD20160934,双氟·唑草酮,除草剂,可湿性粉剂,6%,2031-7-26,浙江天丰生物科学有限公司,浙江省金华市婺城区大岩路666号
PD20160929,烟嘧·莠·异丙,除草剂,可分散油悬浮剂,42%,2031-7-26,安徽久易农业股份有限公司,安徽省合肥市循环经济示范园
PD20160928,吡虫·杀虫双,杀虫剂,颗粒剂,4%,2031-7-26,山东大农药业有限公司,坊前工业园
PD20160926,二氰蒽醌,杀菌剂,原药,98%,2031-7-26,兴柏（沧州渤海新区）科技有限公司,河北省沧州市渤海新区临港经济技术开发区东区化工三路以北
PD20160925,毒死蜱,杀虫剂,水乳剂,30%,2031-7-26,山东麒麟农化有限公司,山东省菏泽市巨野县麒麟镇
PD20160923,噻虫嗪,杀虫剂,种子处理可分散粉剂,70%,2031-7-26,上海沪联生物药业（夏邑）股份有限公司,河南省夏邑县高新开发区文昌西路1299号
PD20160922,双氟磺草胺,除草剂,可湿性粉剂,10%,2031-7-26,陕西美邦药业集团股份有限公司,陕西蒲城县高新技术产业开发区
PD20160921,双氟磺草胺,除草剂,悬浮剂,50克/升,2031-7-26,郑州大农药业有限公司,河南省新郑市薛店镇草花路东侧
PD20160919,二氯吡啶酸,除草剂,原药,95%,2031-7-26,山东埃森化学有限公司,山东省临沂经经济开发区正大路99号
PD20160917,高效氯氟氰菊酯,杀虫剂,微乳剂,8%,2031-7-26,河北中天邦正生物科技股份公司,河北省青县经济开发区北区长兴路6号
PD20160916,阿维菌素,杀线虫剂,颗粒剂,0.5%,2031-7-26,山东海而三利生物化工有限公司,山东省诸城市开发区横五路西段北侧
PD20160915,苏云金杆菌,杀虫剂,悬浮剂,8000IU/毫升,2031-7-26,山东东合生物科技有限公司,山东省商河经济开发区汇源街18号
PD20160914,噻虫嗪,杀虫剂,水分散粒剂,25%,2031-7-26,山东兆丰年生物科技有限公司,山东省济南市章丘高官寨工业区工业路26号
PD20160913,二氯异氰尿酸钠,杀菌剂,可溶粉剂,50%,2031-7-26,四川润尔科技有限公司,四川省简阳市平泉镇
PD20160912,氰氟草酯,除草剂,可分散油悬浮剂,20%,2031-7-26,安徽省圣丹生物化工有限公司,安徽省安庆市望江县华阳镇望华西街63号
PD20160911,葡聚烯糖,杀菌剂,可溶粉剂,0.5%,2031-7-26,艾格福作物科技有限公司,山东省德州市夏津县北城街道西二环路以东、步云街以北
PD20160910,啶酰菌胺,杀菌剂,原药,98%,2031-7-26,江苏澄阳作物科技有限公司,南京江北新区罐区南路83号
PD20160909,噻虫·异丙威,杀虫剂,可湿性粉剂,25%,2031-7-26,山东京博农化科技股份有限公司,山东省滨州市博兴县致泰广场D座22-23层
PD20160907,氰霜唑,杀菌剂,水分散粒剂,50%,2031-7-26,陕西亿田丰作物科技有限公司,蒲城农化基地工业园区
PD20160906,阿维菌素,杀虫剂,原药,97%,2031-7-26,江苏龙灯化学有限公司,江苏省昆山开发区龙灯路88号
PD20160904,噁酮·霜脲氰,杀菌剂,水分散粒剂,52.5%,2031-7-26,山东海讯生物科技有限公司,山东省商河县商河经济技术开发区和谐路6号
